Reservation,Year,Population
Blackfeet,2000,10100
Blackfeet,1990,8549
Blackfeet,1980,6660
Blackfeet,1970,4757
Crow,2000,6894
Crow,1990,6370
Crow,1980,5973
Crow,1970,3049
Flathead,2000,26172
Flathead,1990,21259
Flathead,1980,19628
Flathead,1970,2537
Fort Belknap,2000,2959
Fort Belknap,1990,2508
Fort Belknap,1980,2060
Fort Belknap,1970,1111
Fort Peck,2000,10321
Fort Peck,1990,10595
Fort Peck,1980,9921
Fort Peck,1970,3182
Northern,2000,4470
Northern,1990,3923
Northern,1980,3664
Northern,1970,2357
Rocky,2000,2676
Rocky,1990,1954
Rocky,1980,1650
Rocky,1970,1095
